BitcoinDark,4400,SHA-256,PoW/PoS
CraigsCoin,4425,X11,PoS
Bitstake,5023,X11,PoW/PoS
PayCoin,5030,SHA-256,PoS
ProsperCoin,3638,Scrypt,PoW
YbCoin,3639,Multiple,PoS
DarkKush,3640,X13,PoW/PoS
GiveCoin,3641,X11,PoW
KoboCoin,3642,X15,PoW/PoS
DarkToken,3643,NIST5,PoW/PoS
CETUS Coin,3644,Scrypt,PoW/PoS
Supcoin,3645,N/A,PoW
PetroDollar,3646,SHA-256D,N/A
GeoCoin,3647,N/A,N/A
CleverHash,3648,N/A,N/A
NXTI,3650,N/A,N/A
Insanity Coin,3653,X11,PoW
DogeParty,3655,N/A,N/A
2015 coin,3744,X11,PoW/PoS
42 Coin,4321,Scrypt,PoW/PoS
Asia Coin,4322,Scrypt,PoS
ACoin,4323,SHA-256,PoW
Aero Coin,4324,X13,PoS
AlphaCoin,4325,Scrypt,PoW
Aegis,4326,X13,PoS
AmericanCoin,4327,Scrypt,PoW
AlienCoin,4328,Scrypt,PoW
ApexCoin,4330,X13,PoW/PoS
ArchCoin,4331,Scrypt,PoS
Argentum,4371,Scrypt,PoW
AriCoin,4332,Scrypt,PoW
AXRON,4334,N/A,N/A
BeanCash,4338,SHA-256,PoW/PoS
BlueCoin,4340,Scrypt,PoW/PoS
BoostCoin,4342,X13,PoW/PoS
BQCoin,4343,Scrypt,PoW
MyriadCoin,4345,Multiple,PoW
ZetaCoin,4347,SHA-256,PoW
SexCoin,4348,Scrypt,PoW
Quatloo,4349,Scrypt,PoW
EnergyCoin,4350,Scrypt,PoW/PoS
Riecoin,4352,Groestl,PoW
LimeCoinX,4354,X11,PoW
BitBar,4399,Scrypt,PoW/PoS
CAIx,4406,Scrypt,PoS
BitMark,4403,Scrypt,PoW
CryptoBuk,4404,Scrypt,PoW/PoS
Cachecoin,4405,Scrypt,PoW
CannabisCoin,4407,X11,PoW
BottleCaps,4408,Scrypt,PoW/PoS
CashCoin,4409,Scrypt,PoW/PoS
Catcoin,4410,Scrypt,PoW
CryptoBullion,4411,Scrypt,PoW/PoS
CannaCoin,4412,Scrypt,PoW
CinderCoin,4413,Multiple,PoW/PoS
CINNICOIN,4414,Scrypt,PoW
CheckCoin,4415,N/A,PoS
CLAMS,4416,PoS,PoS
CopperLark,4418,SHA-256,PoW
CosmosCoin,4419,Scrypt,PoW/PoS
ChinaCoin,4420,Scrypt,PoW
ConcealCoin,4421,X11,PoW
Community Coin,4422,Scrypt,PoW/PoS
CoolCoin,4423,Scrypt,PoS
CrackCoin,4424,X11,PoW
CryptCoin,4427,X11,PoW
CasinoCoin,4428,N/A,PoC
eMark,4429,SHA-256,PoW/PoS
Diamond,4431,Groestl,PoW/PoS
DarkCash,4434,X11,PoW/PoS
DarkShibe,4435,Scrypt,PoW
DevCoin,4436,SHA-256,PoW
EarthCoin,4437,Scrypt,PoW
E-Gulden,4438,Scrypt,PoW
Elacoin,4439,Scrypt,PoW
Emerald,4441,Scrypt,PoW
Exclusive Coin,4442,PoS,PoS
ExeCoin,4443,Scrypt,PoW
EZCoin,4444,Scrypt,PoW
Flappy Coin,4445,Scrypt,PoW
Fuel2Coin,4446,X11,PoS
FireflyCoin,4447,SHA-256,PoW
FIBRE,4448,NIST5,PoW/PoS
FireRoosterCoin,4521,SHA-256,PoW
FlutterCoin,4449,Scrypt,PoS/PoW/PoT
Franko,4522,Scrypt,PoW
FractalCoin,4450,X11,PoW
FastCoin,4523,Scrypt,PoW
GrandCoin,4526,Scrypt,PoW
GalaxyCoin,4529,Scrypt,PoW/PoS
GlyphCoin,4530,X11,PoW/PoS
GameLeagueCoin,4531,Scrypt,PoW/PoS
GuerillaCoin,4532,X11,PoW/PoS
Halcyon,4533,X15,PoW/PoS
HoboNickels,4534,Scrypt,PoW/PoS
HunterCoin,4535,Multiple,PoW
HeavyCoin,4536,Multiple,PoW
HyperStake,4537,X11,PoS
IceBergCoin,4538,NIST5,PoW/PoS
Infinite Coin,4539,Scrypt,PoW
IXcoin,4541,SHA-256,PoW
JumBucks Coin,4542,X11,PoW/PoS
JunkCoin,4543,Scrypt,PoW
JudgeCoin,4544,X13,PoW/PoS
Klondike Coin,4545,Scrypt,PoW
KeyCoin,4546,X13,PoW/PoS
KrugerCoin,4547,Scrypt,PoW
Lucky7Coin,4550,Scrypt,PoW/PoS
LuckyCoin,4551,Scrypt,PoW
LightSpeedCoin,4552,NIST5,PoW/PoS
LitecoinDark,4554,Scrypt,PoW
LitecoinX,4555,X11,PoW
LibrexCoin,4556,X11,PoW/PoS
LycanCoin,4557,Scrypt,PoW
MaxCoin,4558,SHA3,PoW/PoS
Minerals Coin,4561,X11,PoW/PoS
MintCoin,4562,Scrypt,PoS
Cryptsy Mining Contract,4563,SHA-256,PoW
MinCoin,4564,Scrypt,PoW
MurrayCoin,4566,Scrypt,PoW
MazaCoin,4568,SHA-256,PoW/PoS
NanoToken,4569,Scrypt,PoW
Nautilus Coin,4570,Scrypt,PoS
Nybble,4572,Scrypt,PoW
NetCoin,4574,Scrypt,PoW
Nimbus Coin,4575,X15,PoW/PoS
NoirBits,4576,SHA-256,PoW
NobleCoin,4577,Scrypt,PoW
NoirShares,4578,Scrypt,PoW/PoS
NovaCoin,4579,Scrypt,PoW/PoS
NyanCoin,4581,Scrypt,PoW
Orbitcoin,4583,NeoScrypt,PoW/PoS
OpenSourceCoin,4584,SHA-256,PoW/PoS
PhilosophersStone,4585,Scrypt,PoW
Cryptsy Points,4586,N/A,N/A
PseudoCash,4588,X13,PoW/PoS
PhoenixCoin,4590,Scrypt,PoW/PoS
PayCoin,4591,Scrypt,PoW/PoS
RipOffCoin,4593,Scrypt,PoW
RonPaulCoin,4594,Scrypt,PoW
RotoCoin,4595,Scrypt-n,PoW/PoS
RoyalCoin,4596,Scrypt,PoW
RazorCoin,4597,Scrypt,PoW
Saturn2Coin,4598,Scrypt,PoW
StableCoin,4599,Scrypt,PoW
ShadowCash,4600,Scrypt,PoW/PoS
SaffronCoin,4601,Multiple,PoW
ShadeCoin,4602,Scrypt,PoW/PoS
ShieldCoin,4603,X15,PoW/PoS
SilkCoin,4604,Scrypt,PoW/PoS
SterlingCoin,4605,X13,PoS
SmartCoin,4606,Scrypt,PoW
SoleCoin,4607,X15,PoW/PoS
Spots,4609,Scrypt,PoW
SecureCoin,4611,Scrypt,PoW
SSVCoin,4613,X13,PoW
SuperCoin,4615,X11,PoS
BitSwift,4616,Scrypt,PoW/PoS
SyncCoin,4617,X11,PoW/PoS
TagCoin,4619,Scrypt,PoW/PoS
TakCoin,4620,SHA-256,PoW/PoS
TeslaCoin,4622,Multiple,PoS
TigerCoin,4623,SHA-256,PoW
TittieCoin,4624,PHI1612,PoS
TorCoin,4625,X11,PoW/PoS
TerraCoin,4626,SHA-256,PoW
TitCoin,4627,Scrypt,PoW
Umbrella,4628,SHA-256,PoW
UnbreakableCoin,4629,SHA-256,PoW
Unobtanium,4630,SHA-256,PoW
UroCoin,4631,X11,PoW
UnitaryStatus Dollar,5011,Scrypt,PoW/PoS
UltraCoin,5012,Scrypt,PoW/PoS
Utility Coin,5013,X13,PoW/PoS
VidioCoin,5014,X11,PoW/PoS
VootCoin,5016,X11,PoW
VeriCoin,5017,Scrypt,PoST
SapienceCoin,5021,X11,PoB/PoS
SocialXbotCoin,5022,Scrypt,PoW/PoS
X11 Coin,5024,X11,PoW/PoS
Crypti,5026,Multiple,PoS
JouleCoin,5027,SHA-256,PoW
LibertyCoin,5028,X11,PoW/PoS
PrimeCoin,5029,Multiple,PoW
StealthCoin,5032,X13,PoW/PoS
XXXCoin,5033,Scrypt,PoW/PoS
YAcCoin,5034,Scrypt,PoW
ZCC Coin,5035,Scrypt,PoW/PoS
ZedCoins,5036,Scrypt,PoW
Elektron,5281,X13,PoW/PoS
XauCoin,5283,SHA-256,PoW
TimesCoin,5284,N/A,N/A
StorjCoin,5288,Counterparty,PoS
StartCoin,5289,X11,PoW
BigCoin,5290,Blake,PoW
CounterParty,5292,SHA-256,PoW
MaidSafe Coin,5293,N/A,N/A
007 coin,5294,Scrypt,PoW
NuShares,5295,PoS,PoS
MonaCoin,5296,Scrypt,PoW
SolarFarm,5297,N/A,PoW
TekCoin,5298,SHA-256,PoW/PoS
BitBay,5300,PoS,PoS
Neutron,5301,SHA-256,PoW/PoS
Sling Coin,5302,SHA-256,PoW
Vcash,5303,Whirlpool,PoS
CraveCoin,5304,Scrypt,PoW/PoS
Stability Shares,5306,Scrypt,PoW/PoS
ByteCent,5308,N/A,PoW
GridCoin,5309,Scrypt,DPoR
Gemz Social,5310,N/A,PoW
KryptCoin,5311,Scrypt,PoS
Horizon,5312,N/A,PoS
QoraCoin,5314,N/A,PoS
RubyCoin,5316,Scrypt,PoS
PesetaCoin,5317,Scrypt,PoW
Wild Beast Coin,5319,Scrypt,PoW
Sonic Screw Driver Coin,5320,SHA-256,PoW/PoS
TileCoin,5321,N/A,N/A
Dnotes,5322,Scrypt,PoS
Flo,5325,Scrypt,PoW
MaieutiCoin,5326,SHA-256,PoS
8BIT Coin,5327,Scrypt,PoW/PoS
Sativa Coin,5328,X13,PoW/PoS
EbolaShare,5329,N/A,PoS
AeroMe,5330,X13,PoW/PoS
Coin Magi,5331,M7M,PoW/PoM/PoSII
AmberCoin,5332,X11,PoW/PoS
NakomotoDark,5334,X11,PoW/PoS
JoinCoin,5335,Multiple,PoW
GhostCoin,5336,Scrypt,PoW/PoS
ArtByte,5338,Scrypt,PoW
LiteDoge,5339,Scrypt,PoW/PoS
MasterTraderCoin,5340,X11,PoW/PoS
Triangles Coin,5341,X13,PoW/PoS
SwarmCoin,5342,N/A,N/A
Boolberry,5343,X11,PoW
BitCrystal,5344,N/A,N/A
BitCredit,5345,Momentum,PoW
Pebble Coin,5346,CryptoNight,PoW
Dirac Coin,5347,Blake,PoW
Folding Coin,5348,Stanford Folding,PoW
SolarCoin,5349,Scrypt,PoW
Social Media Coin,5350,X11,PoW/PoS
TruckCoin,5351,X11,PoW/PoS
Ucoin,5352,X11,PoS
Unitus,5353,Multiple,PoW
CypherPunkCoin,5354,QuBit,PoW
UFO Coin,5355,NeoScrypt,PoW
Ascension Coin,5356,QuBit,PoW/PoS
OrangeCoin,5357,Scrypt,PoW/PoS
GSM Coin,5358,X11,PoW/PoS
FriendshipCoin,5359,NeoScrypt,PoW/PoS
NXTTY,5360,N/A,N/A
QuBuck Coin,5361,X13,PoS/PoB
BlakeCoin,5362,Blake,PoW
MaryJane Coin,5363,X15,PoW/PoS
OmniCron,5365,Scrypt,PoW
CyberCoin,5367,Scrypt,PoW/PoS
BitstarCoin,5368,Scrypt,PoW/PoS
LTBCoin,5369,N/A,PoP/PoV/PoQ
NeosCoin,5370,SHA-256,PoS
HyperCoin,5371,Scrypt,PoW/PoS
Vtorrent,5372,Scrypt,PoW/PoS
MetalCoin,5373,Scrypt,PoW
PinkCoin,5374,X11,PoW/PoS
GreenCoin,5375,Scrypt,PoW
XG Sports,5376,XG Hash,PoW/PoS
ChildCoin,5377,X11,PoW
Boom Token,5378,N/A,N/A
Instamine Nuggets,5379,Scrypt,PoW
Unattanium,5381,SHA-256,PoW
SlimCoin,5382,N/A,PoB
GAIA Platform,5383,X11,PoS
TrustPlus,5384,X16S,PoW/PoS
Cryptonite,5386,M7 POW,PoW
Curecoin,5387,Scrypt,PoW
Gridmaster,5388,Scrypt,PoW
MemoryCoin,5389,Multiple,PoW
BitcoinPlus,5391,Scrypt,PoS
OctoCoin,5393,N/A,N/A
MasterCoin,5394,Scrypt,PoW
EggCoin,5395,Scrypt,PoW/PoS
Coin.2,5396,Scrypt,PoW/PoS
GlowShares,5397,PoS,PoS
Camcoin,5398,X11,PoW/PoS
Ribbit Rewards,5399,Multiple,PoW
Quotient,5400,Scrypt,PoW/PoS
ICASH,5401,X11,PoW
Node,5402,Curve25519,PoA
SoonCoin,5403,SHA-256,PoW
BitMiles,5404,Scrypt,PoW
Event Token,5405,Scrypt,PoW/PoS
1Credit,5406,Scrypt,PoW
ViorCoin,5407,Scrypt,PoW/PoS
XCoin,5408,SHA-256,PoW/PoS
VirtualMining Coin,5409,Scrypt-n,PoW
MarsCoin,5410,X11,PoW
Viral Coin,6088,Scrypt,PoS
Equilibrium Coin,6093,SHA-256,PoW/PoS
IslaCoin,6094,X11,PoW/PoS
Quicksilver coin,6095,X11,PoW
World Trade Funds,6096,X15,PoW/PoS
DeOxyRibose,6097,X11,PoS
SkullBuzz,6099,SHA-256,PoS
GlobalBoost,6100,Yescript,PoW
CryptoFocus,6101,X11,PoW/PoS
Gambit coin,6102,N/A,N/A
Crypto Escudo,6104,Scrypt,PoW
Twelve Coin,6105,T-Inside,PoW/PoS
EagsCoin,6106,X11,PoW/PoS
MultiWallet Coin,6107,X11,PoW/PoS
AudioCoin,6108,Scrypt,PoW/PoS
Megastake,6110,X11,PoW/PoS
Sphere Coin,6111,Scrypt,PoW/PoS
Singular,6112,Scrypt,PoW/PoS
SupplyShock,6115,X13,PoW/PoS
